sample_id,label,family,repo_full_name,source_type,fold,split,prob,pred_label,error_type
pos_0,1,F1_pumpfun_clone,2723799947qq2022/solana-pumpfun-bot,original,0,test,0.07477005,1,correct
pos_1,1,F1_pumpfun_clone,2kwkkk/solana-pumpfun-bot,original,0,test,0.72056496,1,correct
pos_2,1,F1_pumpfun_clone,790659193qqch/solana-pumpfun-bot,original,0,test,0.045268096,1,correct
pos_3,1,F1_pumpfun_clone,7arlystar/solana-pumpfun-bot,original,0,test,0.20689406,1,correct
pos_4,1,F1_pumpfun_clone,918715c83/solana-pumpfun-bot,original,0,test,0.7666432,1,correct
pos_6,1,F1_pumpfun_clone,AmirhBeigi7zch6f/solana-pumpfun-bot,original,0,test,0.30569732,1,correct
pos_8,1,F1_pumpfun_clone,asmaamohamed0264/solana-pumpfun-bot,original,0,test,0.199308,1,correct
pos_9,1,F1_pumpfun_clone,bog-us/solana-pumpfun-bot,original,0,test,0.04304285,1,correct
pos_12,1,F1_pumpfun_clone,edparker89/solana-pumpfun-bot,original,0,test,0.41489884,1,correct
pos_16,1,F1_pumpfun_clone,ii4272/solana-pumpfun-bot,original,0,test,0.056861546,1,correct
pos_17,1,F1_pumpfun_clone,ijtye/solana-pumpfun-bot,original,0,test,0.15203224,1,correct
pos_18,1,F1_pumpfun_clone,iwanjunaids/solana-pumpfun-bot,original,0,test,0.1561049,1,correct
pos_19,1,F1_pumpfun_clone,janmalece/solana-pumpfun-bot,original,0,test,0.052618954,1,correct
pos_20,1,F1_pumpfun_clone,kay2x4/solana-pumpfun-bot,original,0,test,0.036769465,1,correct
pos_22,1,F1_pumpfun_clone,lan666as2dfur/solana-pumpfun-bot,original,0,test,0.019308086,1,correct
pos_23,1,F1_pumpfun_clone,loveccat/solana-pumpfun-bot,original,0,test,0.7981868,1,correct
pos_24,1,F1_pumpfun_clone,lukgria/solana-pumpfun-bot,original,0,test,0.13117322,1,correct
pos_25,1,F1_pumpfun_clone,mdemetrial26rvk9w/solana-pumpfun-bot,original,0,test,0.018761085,1,correct
pos_31,1,F1_pumpfun_clone,oumengwas/solana-pumpfun-bot,original,0,test,0.038683496,1,correct
pos_32,1,F1_pumpfun_clone,Rain-Rave5/solana-pumpfun-bot,original,0,test,0.16026603,1,correct
pos_38,1,F1_pumpfun_clone,wc64561673347375/solana-pumpfun-bot,original,0,test,0.07696084,1,correct
pos_39,1,F1_pumpfun_clone,wj6942/solana-pumpfun-bot,original,0,test,0.046378206,1,correct
pos_40,1,F1_pumpfun_clone,xnaotutu77765/solana-pumpfun-bot,original,0,test,0.7150262,1,correct
pos_42,1,F1_pumpfun_clone,yvagSirKt/solana-pumpfun-bot,original,0,test,0.03567855,1,correct
pos_45,1,F1_pumpfun_clone,2723799947qq2022t/solana-pumpfun-bot,synthetic,0,test,0.31195062,1,correct
pos_46,1,F1_pumpfun_clone,2kwkk/solana-pumpfun-bot,synthetic,0,test,0.04867657,1,correct
pos_47,1,F1_pumpfun_clone,790659193qqch2/solana-pumpfun-bot,synthetic,0,test,0.25386098,1,correct
pos_48,1,F1_pumpfun_clone,7arlysta/solana-pumpfun-bot,synthetic,0,test,0.19682619,1,correct
pos_49,1,F1_pumpfun_clone,918715c8/solana-pumpfun-bot,synthetic,0,test,0.3684057,1,correct
pos_50,1,F1_pumpfun_clone,AmirhBeigi7zch6ff/solana-pumpfun-bot,synthetic,0,test,0.2893717,1,correct
pos_51,1,F1_pumpfun_clone,asmaamohamed0264a/solana-pumpfun-bot,synthetic,0,test,0.46295857,1,correct
pos_52,1,F1_pumpfun_clone,bogus/solana-pumpfun-bot,synthetic,0,test,0.040692955,1,correct
pos_53,1,F1_pumpfun_clone,edparker89t/solana-pumpfun-bot,synthetic,0,test,0.37754068,1,correct
pos_54,1,F1_pumpfun_clone,ii427/solana-pumpfun-bot,synthetic,0,test,0.55012405,1,correct
pos_55,1,F1_pumpfun_clone,ijty/solana-pumpfun-bot,synthetic,0,test,0.63973606,1,correct
pos_56,1,F1_pumpfun_clone,iwanjunaid/solana-pumpfun-bot,synthetic,0,test,0.15405756,1,correct
pos_57,1,F1_pumpfun_clone,janmalece2/solana-pumpfun-bot,synthetic,0,test,0.20181322,1,correct
pos_58,1,F1_pumpfun_clone,kay2x42/solana-pumpfun-bot,synthetic,0,test,0.03846619,1,correct
pos_59,1,F1_pumpfun_clone,lan666as2dfu/solana-pumpfun-bot,synthetic,0,test,0.01883313,1,correct
pos_60,1,F1_pumpfun_clone,loveccat2/solana-pumpfun-bot,synthetic,0,test,0.034880888,1,correct
pos_61,1,F1_pumpfun_clone,lukgrial/solana-pumpfun-bot,synthetic,0,test,0.12252322,1,correct
pos_62,1,F1_pumpfun_clone,mdemetrial26rvk9wz/solana-pumpfun-bot,synthetic,0,test,0.027506804,1,correct
pos_63,1,F1_pumpfun_clone,oumengwas2/solana-pumpfun-bot,synthetic,0,test,0.5607338,1,correct
pos_64,1,F1_pumpfun_clone,RainRave5/solana-pumpfun-bot,synthetic,0,test,0.1732882,1,correct
pos_65,1,F1_pumpfun_clone,wc645616733473752/solana-pumpfun-bot,synthetic,0,test,0.29665425,1,correct
pos_66,1,F1_pumpfun_clone,wj69422/solana-pumpfun-bot,synthetic,0,test,0.037750274,1,correct
pos_67,1,F1_pumpfun_clone,xnaotutu777652/solana-pumpfun-bot,synthetic,0,test,0.03608394,1,correct
pos_68,1,F1_pumpfun_clone,yvagSirKt6/solana-pumpfun-bot,synthetic,0,test,0.021206118,1,correct
pos_69,1,F1_pumpfun_clone,2723799947qq202/solana-pumpfun-bot,synthetic,0,test,0.1732882,1,correct
pos_70,1,F1_pumpfun_clone,2kwkkk2/solana-pumpfun-bot,synthetic,0,test,0.5621765,1,correct
pos_71,1,F1_pumpfun_clone,790659193qqch3/solana-pumpfun-bot,synthetic,0,test,0.25683197,1,correct
pos_72,1,F1_pumpfun_clone,7arlystart/solana-pumpfun-bot,synthetic,0,test,0.1732882,1,correct
pos_73,1,F1_pumpfun_clone,918715c832/solana-pumpfun-bot,synthetic,0,test,0.0451627,1,correct
