sample_id,label,family,repo_full_name,source_type,fold,split,prob,pred_label
pos_243,1,F2_crypto_trading_bot,MorningStar2134v/Solana-pumpfun-bot,synthetic,1,test,0.99999726,1
pos_235,1,F2_crypto_trading_bot,MorningStar213mf/Solana-pumpfun-bot,synthetic,1,test,0.99999404,1
pos_271,1,F5_ai_media_demo,shivas1434/sora2-watermark-remover,synthetic,4,test,0.99998987,1
pos_255,1,F5_ai_media_demo,shivas143/sora2-watermark-remover,synthetic,4,test,0.99998975,1
pos_283,1,F5_ai_media_demo,shivas1432s/sora2-watermark-remover,synthetic,4,test,0.9999845,1
pos_263,1,F5_ai_media_demo,shivas1432o/sora2-watermark-remover,synthetic,4,test,0.9999825,1
pos_219,1,F2_crypto_trading_bot,MorningStar213q/Solana-pumpfun-bot,synthetic,1,test,0.9999825,1
pos_227,1,F2_crypto_trading_bot,MorningStar213h/Solana-pumpfun-bot,synthetic,1,test,0.9999795,1
pos_239,1,F2_crypto_trading_bot,MorningStar21397/Solana-pumpfun-bot,synthetic,1,test,0.99997854,1
pos_231,1,F2_crypto_trading_bot,MorningStar2131/Solana-pumpfun-bot,synthetic,1,test,0.99997115,1
pos_223,1,F2_crypto_trading_bot,MorningStar213j/Solana-pumpfun-bot,synthetic,1,test,0.99989104,1
pos_195,1,F2_crypto_trading_bot,MorningStar213/Solana-pumpfun-bot,synthetic,1,test,0.9998233,1
pos_203,1,F2_crypto_trading_bot,MorningStar2133/Solana-pumpfun-bot,synthetic,1,test,0.9998029,1
pos_295,1,F5_ai_media_demo,shivas14325/sora2-watermark-remover,synthetic,4,test,0.99979657,1
pos_34,1,F5_ai_media_demo,shivas1432/sora2-watermark-remover,original,4,test,0.99970406,1
pos_199,1,F2_crypto_trading_bot,MorningStar2132/Solana-pumpfun-bot,synthetic,1,test,0.9996724,1
pos_207,1,F2_crypto_trading_bot,MorningStar213o3/Solana-pumpfun-bot,synthetic,1,test,0.9995956,1
pos_29,1,F2_crypto_trading_bot,Morning-Star213/Solana-pumpfun-bot,original,1,test,0.9993333,1
pos_191,1,F2_crypto_trading_bot,MorningStar213ry/Solana-pumpfun-bot,synthetic,1,test,0.99895155,1
pos_259,1,F5_ai_media_demo,shivas1433/sora2-watermark-remover,synthetic,4,test,0.99893504,1
neg_1575,0,NEG::rstkey__whitelist_token.json,rstkey/whitelist_token,real_negative,4,test,0.99877447,1
neg_827,0,NEG::hclivess__qtrader.json,hclivess/qtrader,real_negative,0,test,0.99856746,1
pos_279,1,F5_ai_media_demo,shivas1435/sora2-watermark-remover,synthetic,4,test,0.9980122,1
pos_267,1,F5_ai_media_demo,shivas14323/sora2-watermark-remover,synthetic,4,test,0.9980122,1
pos_211,1,F2_crypto_trading_bot,MorningStar213gg/Solana-pumpfun-bot,synthetic,1,test,0.9975274,1
pos_291,1,F5_ai_media_demo,shivas14327/sora2-watermark-remover,synthetic,4,test,0.99711037,1
neg_1242,0,NEG::mradkov__decentralized-dns.json,mradkov/decentralized-dns,real_negative,1,test,0.9963642,1
pos_215,1,F2_crypto_trading_bot,MorningStar2132q/Solana-pumpfun-bot,synthetic,1,test,0.99346113,1
pos_299,1,F5_ai_media_demo,shivas1432a/sora2-watermark-remover,synthetic,4,test,0.99298817,1
neg_1553,0,NEG::rk98991439__Cryptocurrency-Wallet.json,rk98991439/Cryptocurrency-Wallet,real_negative,0,test,0.99293363,1
neg_632,0,NEG::ElromEvedElElyon__bitcoinbrasil.json,ElromEvedElElyon/bitcoinbrasil,real_negative,4,test,0.9928786,1
neg_1095,0,NEG::Lemury1__wallet_stealer.json,Lemury1/wallet_stealer,real_negative,4,test,0.98934746,1
neg_312,0,NEG::BlackPeter13__LightningTipBot.json,BlackPeter13/LightningTipBot,real_negative,1,test,0.9839091,1
neg_1249,0,NEG::mrsaad07__PropChain.json,mrsaad07/PropChain,real_negative,0,test,0.9814534,1
neg_1613,0,NEG::sava2109__Cryptography_project_PKI_smart_contract.json,sava2109/Cryptography_project_PKI_smart_contract,real_negative,1,test,0.97879136,1
neg_5,0,NEG::0x4543__zeta-crypto.json,0x4543/zeta-crypto,real_negative,0,test,0.9759464,1
neg_1209,0,NEG::milan338__totally-secure-dapp.json,milan338/totally-secure-dapp,real_negative,0,test,0.96432143,1
neg_2053,0,NEG::zzzizo__cig-chain.json,zzzizo/cig-chain,real_negative,4,test,0.96432143,1
pos_240,1,F2_crypto_trading_bot,bot-market3/polymarket-copytrading-bot-sport,synthetic,1,test,0.96095175,1
neg_1868,0,NEG::uhsr__CryptoKeyVaultManager.json,uhsr/CryptoKeyVaultManager,real_negative,1,test,0.95976204,1
neg_768,0,NEG::gmh5225__awesome-crypto-wallet-address.json,gmh5225/awesome-crypto-wallet-address,real_negative,3,test,0.94776917,1
neg_1121,0,NEG::lucas54neves__crypto-address-generator.json,lucas54neves/crypto-address-generator,real_negative,3,test,0.9433476,1
