feature,feature_value,coefficient,contribution,abs_contribution
description_has_blockchain_keyword,-1.9183119535446167,-0.1605477618719161,0.3079806907137313,0.3079806907137313
readme_has_install_run_commands,1.2264808416366577,0.0738361851376754,0.0905586664908962,0.0905586664908962
repo_age_days,-1.1247689723968506,-0.07324731572274597,0.08238630803630066,0.08238630803630066
topic_has_blockchain_keyword,-1.0443114042282104,-0.07593483158343516,0.07929961060072983,0.07929961060072983
has_env_file,-0.5868344306945801,0.12322096604473697,-0.0723103054584994,0.0723103054584994
blockchain_keyword_count,-1.009684681892395,-0.06925259137313675,0.0699232806908096,0.0699232806908096
repo_name_has_blockchain_keyword,0.882773756980896,-0.06735074625959589,-0.059455471311050494,0.059455471311050494
topics_count,-0.8286152482032776,-0.06479797365752603,0.05369258902530037,0.05369258902530037
watch_to_star_ratio,-1.2813947200775146,0.039386508010357486,-0.05046966340676282,0.05046966340676282
primary_language_is_typescript,1.9428967237472534,-0.023299910655504862,-0.045269320076184116,0.045269320076184116
repo_is_fork,-0.2307462990283966,0.18594673229736416,-0.0429065202940408,0.0429065202940408
has_license_file,-1.0025520324707031,0.04253536713659838,-0.042643918774684264,0.042643918774684264
user_login_entropy,0.9805678725242615,0.04273825387150422,0.04190775867418267,0.04190775867418267
user_repo_creation_gap_days,-0.8668076395988464,0.04802639895263931,-0.041629649514569794,0.041629649514569794
days_since_last_push,-0.8618811964988708,-0.047570643065005296,0.041000242763087474,0.041000242763087474
is_stale_repo_flag,-1.529381275177002,-0.026454004058307275,0.040458258460231565,0.040458258460231565
hidden_file_ratio,-0.7169997692108154,-0.04923284828212684,0.03529994085587603,0.03529994085587603
security_trust_keyword_count,-0.634253978729248,0.05436377375410823,-0.034480439802279814,0.034480439802279814
wallet_keyword_count,-0.7854560613632202,-0.042957704129610655,0.033741389090850525,0.033741389090850525
has_email,-0.6851373910903931,0.04797190393101433,-0.03286734510493413,0.03286734510493413
