number,value,datetime_start,datetime_complete,duration,params_C,params_aux_max_features,params_aux_min_df,params_aux_ngram_high,params_calibration_method,params_readme_max_features,params_readme_min_df,params_readme_ngram_high,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_threshold,state
0,0.7272727272727273,2026-04-14 11:57:24.110875,2026-04-14 11:57:34.409715,0 days 00:00:10.298840,3.8965578025091947,150,2,2,isotonic,400,3,2,0.7272727272727273,0.96,0.5853658536585366,0.960410067,COMPLETE
1,0.7272727272727273,2026-04-14 11:57:34.409936,2026-04-14 11:57:41.138180,0 days 00:00:06.728244,1.1333598428053422,300,3,2,sigmoid,400,2,1,0.7272727272727273,0.96,0.5853658536585366,0.9456384213,COMPLETE
2,0.7272727272727273,2026-04-14 11:57:41.138379,2026-04-14 11:57:46.406721,0 days 00:00:05.268342,0.6028804742508801,100,2,2,isotonic,200,3,2,0.7272727272727273,0.96,0.5853658536585366,0.9603910886,COMPLETE
3,0.7272727272727273,2026-04-14 11:57:46.406933,2026-04-14 11:57:52.704684,0 days 00:00:06.297751,0.0043671688536429925,150,3,2,sigmoid,300,2,1,0.7272727272727273,0.96,0.5853658536585366,0.9648980848,COMPLETE
4,0.7164179104477612,2026-04-14 11:57:52.704891,2026-04-14 11:58:00.083449,0 days 00:00:07.378558,2.900034247901351,300,3,2,isotonic,200,4,1,0.7164179104477612,0.9230769230769231,0.5853658536585366,0.8976129395,COMPLETE
5,0.7164179104477612,2026-04-14 11:58:00.083662,2026-04-14 11:58:01.987036,0 days 00:00:01.903374,1.1342883589326203,150,1,1,isotonic,800,2,1,0.7164179104477612,0.9230769230769231,0.5853658536585366,0.9571592313,COMPLETE
6,0.7384615384615385,2026-04-14 11:58:01.987220,2026-04-14 11:58:06.349700,0 days 00:00:04.362480,17.117295635659133,100,2,1,isotonic,300,2,1,0.7384615384615385,1.0,0.5853658536585366,0.9592694064,COMPLETE
7,0.7164179104477612,2026-04-14 11:58:06.349908,2026-04-14 11:58:10.858466,0 days 00:00:04.508558,0.27752954184734613,50,3,2,isotonic,300,5,2,0.7164179104477612,0.9230769230769231,0.5853658536585366,0.961025641,COMPLETE
8,0.782608695652174,2026-04-14 11:58:10.858686,2026-04-14 11:58:14.363401,0 days 00:00:03.504715,0.001452325850334455,300,3,2,isotonic,600,4,2,0.782608695652174,0.9642857142857143,0.6585365853658537,0.7699604743,COMPLETE
9,0.746268656716418,2026-04-14 11:58:14.363625,2026-04-14 11:58:15.707734,0 days 00:00:01.344109,0.0029398164211325408,300,1,1,isotonic,200,2,1,0.746268656716418,0.9615384615384616,0.6097560975609756,0.8852755194,COMPLETE
10,0.7272727272727273,2026-04-14 11:58:15.708015,2026-04-14 11:58:24.107595,0 days 00:00:08.399580,0.024870105371383122,250,2,1,sigmoid,700,5,2,0.7272727272727273,0.96,0.5853658536585366,0.9857426122,COMPLETE
11,0.7647058823529411,2026-04-14 11:58:24.107788,2026-04-14 11:58:27.782040,0 days 00:00:03.674252,0.0010444959583145222,250,1,1,isotonic,600,4,2,0.7647058823529411,0.9629629629629629,0.6341463414634146,0.8445503467,COMPLETE
12,0.7536231884057971,2026-04-14 11:58:27.782274,2026-04-14 11:58:31.378438,0 days 00:00:03.596164,0.0010097550079988373,250,1,1,isotonic,600,4,2,0.7536231884057971,0.9285714285714286,0.6341463414634146,0.8269978762,COMPLETE
13,0.7058823529411765,2026-04-14 11:58:31.378642,2026-04-14 11:58:34.940034,0 days 00:00:03.561392,0.037749191148262126,250,1,1,isotonic,600,4,2,0.7058823529411765,0.8888888888888888,0.5853658536585366,0.961025641,COMPLETE
