number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_lr,params_num_layers,params_pos_weight_scale,params_weight_decay,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_threshold,state
0,0.7012987012987013,2026-04-15 08:23:57.337803,2026-04-15 08:24:10.276824,0 days 00:00:12.939021,64,0.28912318790219416,128,0.00011794319242564083,3,1.2550716947612868,3.0901057675285605e-06,0.7012987012987013,0.675,0.7297297297297297,0.0873173400759697,COMPLETE
1,0.6666666666666666,2026-04-15 08:24:10.277023,2026-04-15 08:24:19.874430,0 days 00:00:09.597407,16,0.36922719965267015,128,0.00044742221054912224,3,1.1349866132631863,7.397109042014685e-06,0.6666666666666666,0.5957446808510638,0.7567567567567568,0.02179778926074505,COMPLETE
2,0.8405797101449275,2026-04-15 08:24:19.874633,2026-04-15 08:24:25.689367,0 days 00:00:05.814734,64,0.18995843280378316,384,0.0011050866530396154,3,0.9750212994907714,2.1463293793734056e-06,0.8405797101449275,0.90625,0.7837837837837838,0.048377279192209244,COMPLETE
3,0.7341772151898734,2026-04-15 08:24:25.689581,2026-04-15 08:24:31.956123,0 days 00:00:06.266542,32,0.22402957500648896,256,0.0016585888199412292,3,0.8853525928043593,2.2646421171742674e-05,0.7341772151898734,0.6904761904761905,0.7837837837837838,0.00010572939936537296,COMPLETE
4,0.49572649572649574,2026-04-15 08:24:31.956361,2026-04-15 08:24:44.512929,0 days 00:00:12.556568,16,0.366532988489387,128,0.00023809471445820866,3,0.8449206071762647,5.674776459724214e-06,0.49572649572649574,0.3625,0.7837837837837838,0.0015209625707939267,COMPLETE
5,0.7837837837837838,2026-04-15 08:24:44.513150,2026-04-15 08:24:53.008752,0 days 00:00:08.495602,64,0.28733299893443476,128,0.0001893752440533356,3,1.4935450922600544,7.74751314993713e-06,0.7837837837837838,0.7837837837837838,0.7837837837837838,0.5010492205619812,COMPLETE
6,0.27906976744186046,2026-04-15 08:24:53.009004,2026-04-15 08:25:01.942558,0 days 00:00:08.933554,64,0.3932478002309051,128,0.00011434780403015927,3,1.1902747616757838,3.019168091234839e-06,0.27906976744186046,1.0,0.16216216216216217,0.5103068351745605,COMPLETE
7,0.64,2026-04-15 08:25:01.942774,2026-04-15 08:25:09.543632,0 days 00:00:07.600858,32,0.46298156089339426,128,0.0010266406027563694,2,1.4922901367146069,2.0687344763855727e-06,0.64,0.5079365079365079,0.8648648648648649,0.010722434148192406,COMPLETE
8,0.8450704225352113,2026-04-15 08:25:09.543857,2026-04-15 08:25:16.141938,0 days 00:00:06.598081,64,0.2191537907869177,128,0.0006972927083382586,2,0.9587011707147488,5.271857389409381e-05,0.8450704225352113,0.8823529411764706,0.8108108108108109,0.43727999925613403,COMPLETE
9,0.6021505376344086,2026-04-15 08:25:16.142171,2026-04-15 08:25:28.197863,0 days 00:00:12.055692,64,0.12990267424953306,384,0.00012881787145882953,2,1.0850503733414676,1.3179606313919516e-05,0.6021505376344086,0.5,0.7567567567567568,0.03955848515033722,COMPLETE
10,0.7605633802816901,2026-04-15 08:25:28.198084,2026-04-15 08:25:45.205346,0 days 00:00:17.007262,16,0.13007195728821422,256,0.0027775890358947637,2,1.0045361986653663,0.00014653794532913994,0.7605633802816901,0.7941176470588235,0.7297297297297297,0.0005532195791602135,COMPLETE
11,0.691358024691358,2026-04-15 08:25:45.205564,2026-04-15 08:26:04.575351,0 days 00:00:19.369787,64,0.20437070340832367,384,0.0006834411872016677,2,0.9670637857177485,0.00018650792900776726,0.691358024691358,0.6363636363636364,0.7567567567567568,0.024724800139665604,COMPLETE
12,0.8108108108108109,2026-04-15 08:26:04.575661,2026-04-15 08:26:18.323153,0 days 00:00:13.747492,64,0.2074403125121176,384,0.0004887184324043498,2,0.978552816669525,5.927860521930417e-05,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.08086734265089035,COMPLETE
