number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_lr,params_num_layers,params_pos_weight_scale,params_weight_decay,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_threshold,state
0,0.7945205479452054,2026-04-15 15:53:55.703985,2026-04-15 15:54:03.466752,0 days 00:00:07.762767,16,0.4198418406640215,256,0.0008986139091835398,3,0.8168079479017527,1.753068239105452e-05,0.7945205479452054,0.8787878787878788,0.725,0.20342442393302917,COMPLETE
1,0.7605633802816901,2026-04-15 15:54:03.466954,2026-04-15 15:54:16.190024,0 days 00:00:12.723070,16,0.46687741961500584,384,0.0002512944384192672,2,0.8036665689892318,6.616733983465562e-06,0.7605633802816901,0.8709677419354839,0.675,0.16497662663459778,COMPLETE
2,0.7088607594936709,2026-04-15 15:54:16.190228,2026-04-15 15:54:24.302801,0 days 00:00:08.112573,32,0.17104482623831613,128,0.0006208917267186632,2,1.4595791808531065,7.59240652841197e-06,0.7088607594936709,0.717948717948718,0.7,0.15829998254776,COMPLETE
3,0.7714285714285715,2026-04-15 15:54:24.302999,2026-04-15 15:54:33.123512,0 days 00:00:08.820513,64,0.2034681295934509,128,0.00018111693511215193,3,1.4781788461173462,1.2081775805125935e-05,0.7714285714285715,0.9,0.675,0.440710186958313,COMPLETE
4,0.7714285714285715,2026-04-15 15:54:33.123709,2026-04-15 15:54:45.225332,0 days 00:00:12.101623,64,0.33876461037235417,384,0.00014230495786283145,2,1.2536501749867397,5.0570618533410734e-05,0.7714285714285715,0.9,0.675,0.24009212851524353,COMPLETE
5,0.7567567567567568,2026-04-15 15:54:45.225532,2026-04-15 15:54:55.024496,0 days 00:00:09.798964,64,0.4135032643004988,384,0.00023601508152057968,3,1.327837708771217,0.0006043264011137655,0.7567567567567568,0.8235294117647058,0.7,0.07439181208610535,COMPLETE
6,0.7777777777777778,2026-04-15 15:54:55.024696,2026-04-15 15:55:02.116563,0 days 00:00:07.091867,16,0.3112531392958662,256,0.0007912310931691704,3,0.8597630869561828,3.7647393557033e-05,0.7777777777777778,0.875,0.7,0.024257242679595947,COMPLETE
7,0.8059701492537313,2026-04-15 15:55:02.116750,2026-04-15 15:55:07.791456,0 days 00:00:05.674706,32,0.31806886276618584,384,0.0008875583438605345,3,1.330613005803229,2.6356730926423584e-05,0.8059701492537313,1.0,0.675,0.8939732909202576,COMPLETE
8,0.7567567567567568,2026-04-15 15:55:07.791659,2026-04-15 15:55:23.011924,0 days 00:00:15.220265,16,0.41991770022632136,384,0.0002917172086718651,2,1.118807729752342,1.3069507641957727e-06,0.7567567567567568,0.8235294117647058,0.7,0.06373724341392517,COMPLETE
9,0.7945205479452054,2026-04-15 15:55:23.012122,2026-04-15 15:55:33.811815,0 days 00:00:10.799693,16,0.34465348829980763,256,0.00032372093875448636,2,1.4837318605121717,2.731399269897993e-05,0.7945205479452054,0.8787878787878788,0.725,0.14131994545459747,COMPLETE
10,0.8205128205128205,2026-04-15 15:55:33.812032,2026-04-15 15:55:38.959731,0 days 00:00:05.147699,32,0.10667478841006292,384,0.0024304896272970547,3,1.0730561612218996,0.00020458814610146647,0.8205128205128205,0.8421052631578947,0.8,0.037215620279312134,COMPLETE
11,0.7777777777777778,2026-04-15 15:55:38.960119,2026-04-15 15:55:47.582337,0 days 00:00:08.622218,32,0.10113980298775604,384,0.00253590289192962,3,1.0532139929202402,0.00022782133625467337,0.7777777777777778,0.875,0.7,0.03545096516609192,COMPLETE
12,0.8108108108108109,2026-04-15 15:55:47.582610,2026-04-15 15:55:52.980749,0 days 00:00:05.398139,32,0.24322905759706326,384,0.0022152941625223008,3,1.0158462681686284,0.000115758492532274,0.8108108108108109,0.8823529411764706,0.75,0.8885948657989502,COMPLETE
13,0.7654320987654321,2026-04-15 15:55:52.980965,2026-04-15 15:56:00.330315,0 days 00:00:07.349350,32,0.23948102064744423,384,0.0027824425116711815,3,0.978885985002886,0.00014036155557266167,0.7654320987654321,0.7560975609756098,0.775,0.5004569888114929,COMPLETE
14,0.8,2026-04-15 15:56:00.330505,2026-04-15 15:56:05.190175,0 days 00:00:04.859670,32,0.10648261878284998,384,0.0014318305790159262,3,0.9692895320099311,0.0007075939761087754,0.8,0.8571428571428571,0.75,0.011701052077114582,COMPLETE
15,0.7792207792207793,2026-04-15 15:56:05.190390,2026-04-15 15:56:09.385050,0 days 00:00:04.194660,32,0.24881905836205015,128,0.0016429828883344744,3,1.1486986472400411,0.00012651754383758077,0.7792207792207793,0.8108108108108109,0.75,0.2918487787246704,COMPLETE
16,0.75,2026-04-15 15:56:09.385252,2026-04-15 15:56:16.673713,0 days 00:00:07.288461,32,0.16034371373902345,384,0.001597565169689527,3,0.9508980117112099,0.00028119253575825985,0.75,0.75,0.75,0.4717619717121124,COMPLETE
17,0.7761194029850746,2026-04-15 15:56:16.673922,2026-04-15 15:56:24.593150,0 days 00:00:07.919228,32,0.24946132272768382,384,0.0019988752955991005,3,1.0520554850944908,7.668744199827696e-05,0.7761194029850746,0.9629629629629629,0.65,0.7889282703399658,COMPLETE
18,0.8059701492537313,2026-04-15 15:56:24.593368,2026-04-15 15:56:28.579216,0 days 00:00:03.985848,32,0.14996330151258064,256,0.001211498266183351,3,1.2266534498414796,0.000354827047689369,0.8059701492537313,1.0,0.675,0.8216800689697266,COMPLETE
19,0.7692307692307693,2026-04-15 15:56:28.579437,2026-04-15 15:56:37.314750,0 days 00:00:08.735313,32,0.21012982533949415,128,0.0004270548339303556,3,0.909401462641883,9.561314075207747e-05,0.7692307692307693,1.0,0.625,0.6038128137588501,COMPLETE
20,0.7605633802816901,2026-04-15 15:56:37.315005,2026-04-15 15:56:52.916220,0 days 00:00:15.601215,64,0.28024512278101754,384,0.00010010013227515689,3,1.0527341224160183,1.346816566409654e-06,0.7605633802816901,0.8709677419354839,0.675,0.28363487124443054,COMPLETE
21,0.7397260273972602,2026-04-15 15:56:52.916431,2026-04-15 15:57:02.761880,0 days 00:00:09.845449,32,0.3680518475398204,384,0.0009913394956245789,3,1.3941490324460937,6.802510979210977e-05,0.7397260273972602,0.8181818181818182,0.675,0.09321548044681549,COMPLETE
22,0.7160493827160493,2026-04-15 15:57:02.762177,2026-04-15 15:57:13.084757,0 days 00:00:10.322580,32,0.29074766352507847,384,0.002172238141713168,3,1.2234149185427134,0.0001822455101992304,0.7160493827160493,0.7073170731707317,0.725,0.044191326946020126,COMPLETE
23,0.6666666666666666,2026-04-15 15:57:13.085134,2026-04-15 15:57:25.916717,0 days 00:00:12.831583,32,0.3804900841258727,384,0.0028777172586534555,3,1.3270537127168016,3.33615471260106e-06,0.6666666666666666,0.6363636363636364,0.7,0.9518377184867859,COMPLETE
24,0.8059701492537313,2026-04-15 15:57:25.916946,2026-04-15 15:57:35.962876,0 days 00:00:10.045930,32,0.13442466587746263,384,0.0005891882107133922,3,1.0991586267988869,2.9397405978255557e-05,0.8059701492537313,1.0,0.675,0.4265240430831909,COMPLETE
25,0.8051948051948052,2026-04-15 15:57:35.963176,2026-04-15 15:57:43.106612,0 days 00:00:07.143436,32,0.19633159508627301,384,0.0012010694625482574,3,1.1859081432240217,0.0005327441073791532,0.8051948051948052,0.8378378378378378,0.775,0.03211232274770737,COMPLETE
26,0.7837837837837838,2026-04-15 15:57:43.106906,2026-04-15 15:57:49.804442,0 days 00:00:06.697536,32,0.31545753272142935,384,0.00200368135102388,2,0.9993224321695671,0.0009868823318081388,0.7837837837837838,0.8529411764705882,0.725,0.007071846630424261,COMPLETE
27,0.8059701492537313,2026-04-15 15:57:49.804706,2026-04-15 15:57:58.325165,0 days 00:00:08.520459,32,0.26545039194305486,384,0.000728344350616961,3,1.3213485707812522,5.0601207913441094e-05,0.8059701492537313,1.0,0.675,0.5502923130989075,COMPLETE
28,0.8059701492537313,2026-04-15 15:57:58.325478,2026-04-15 15:58:04.317593,0 days 00:00:05.992115,64,0.490877294117862,256,0.0011441441114030527,3,0.9121359834620691,2.025377456630673e-05,0.8059701492537313,1.0,0.675,0.9200893044471741,COMPLETE
29,0.7941176470588235,2026-04-15 15:58:04.317802,2026-04-15 15:58:18.280409,0 days 00:00:13.962607,32,0.2278532030331481,128,0.00043687938474471156,3,1.0944558528853119,1.3252829661329492e-05,0.7941176470588235,0.9642857142857143,0.675,0.356291800737381,COMPLETE
30,0.8,2026-04-15 15:58:18.280652,2026-04-15 15:58:28.329463,0 days 00:00:10.048811,16,0.18328378861343456,256,0.0009117749941809759,3,1.2769664363771598,0.00011213062479443968,0.8,0.9333333333333333,0.7,0.3088251054286957,COMPLETE
