feature,pr_auc_drop,f1_drop
public_gists_count,0.0009968847352024302,0.001669439822517993
open_issues_count,0.0008207705192629922,0.001669439822517993
watchers_count,0.0004093567251461927,0.001669439822517993
stargazers_count,0.0003482587064675968,0.001669439822517993
risk_filename_count,0.00027390710382513284,0.0033444537345936887
env_file_count,1.107419712065294e-05,0.0066005692991020215
repo_age_days,1.107419712065294e-05,0.0033112308672941237
description_clean_len,1.107419712065294e-05,0.0
description_has_download_lure_keyword,1.107419712065294e-05,0.0
external_domains_with_age_count,1.107419712065294e-05,0.0
avg_path_depth,1.1102230246251565e-16,0.00165836562539734
readme_has_install_run_commands,1.1102230246251565e-16,0.00165836562539734
repo_size_kb,1.1102230246251565e-16,0.00165836562539734
desc_length,1.1102230246251565e-16,0.0
has_cargo_toml,1.1102230246251565e-16,0.0
has_test_dir,1.1102230246251565e-16,0.0
time_to_last_push_days,1.1102230246251565e-16,0.0
repo_name_has_blockchain_keyword,0.0,0.0066005692991020215
has_email,0.0,0.004958623045476118
security_trust_keyword_count,0.0,0.004958623045476118
external_domains_average_age,0.0,0.0033112308672941237
has_issues_enabled,0.0,0.0033112308672941237
has_license_file,0.0,0.0033112308672941237
has_readme_file,0.0,0.0033112308672941237
owner_repo_density,0.0,0.0033112308672941237
primary_language_is_typescript,0.0,0.0033112308672941237
readme_clean_len,0.0,0.0033112308672941237
repo_is_fork,0.0,0.0033112308672941237
days_since_last_push,0.0,0.00165836562539734
following_count,0.0,0.00165836562539734
has_deploy_dir,0.0,0.00165836562539734
has_foundry_toml,0.0,0.00165836562539734
has_homepage,0.0,0.00165836562539734
has_license_meta,0.0,0.00165836562539734
has_package_lock_json,0.0,0.00165836562539734
is_hireable,0.0,0.00165836562539734
large_file_count_ge_1mb,0.0,0.00165836562539734
max_path_depth,0.0,0.00165836562539734
primary_language_is_javascript,0.0,0.00165836562539734
readme_length,0.0,0.00165836562539734
repo_name_entropy,0.0,0.00165836562539734
text_for_tfidf_clean_len.1,0.0,0.00165836562539734
top_level_dir_count,0.0,0.00165836562539734
user_name_matches_login,0.0,0.00165836562539734
user_profile_completeness,0.0,0.00165836562539734
user_profile_update_span_days,0.0,0.00165836562539734
user_type_is_org,0.0,0.00165836562539734
wallet_frontend_risk_combo_flag,0.0,0.00165836562539734
raw_file_name,0.0,0.0
text_source_name,0.0,0.0
text_for_tfidf_raw,0.0,0.0
text_for_tfidf_raw_len,0.0,0.0
text_for_tfidf_clean_len,0.0,0.0
allow_forking,0.0,0.0
archive_file_count,0.0,0.0
avg_file_size_bytes,0.0,0.0
binary_download_lure_combo_flag,0.0,0.0
blockchain_keyword_count,0.0,0.0
combined_clean_len,0.0,0.0
combined_raw_len,0.0,0.0
contract_file_ratio,0.0,0.0
contract_test_ratio,0.0,0.0
default_branch_is_main,0.0,0.0
default_branch_is_master,0.0,0.0
deploy_related_file_count,0.0,0.0
desc_unique_domain_count,0.0,0.0
desc_url_count,0.0,0.0
description_has_block_explorer_link,0.0,0.0
description_has_blockchain_keyword,0.0,0.0
description_has_contract_address,0.0,0.0
description_has_risky_keyword,0.0,0.0
description_raw_len,0.0,0.0
