feature,feature_value_scaled,gradient,grad_x_input,abs_grad_x_input
repo_is_fork,4.3337646,0.53418165,2.3150175,2.3150175
has_issues_enabled,-3.3845272,-0.2643375,0.8946575,0.8946575
has_env_file,1.7040582,0.3884781,0.6619893,0.6619893
readme_has_airdrop_claim_keywords,2.4296556,0.25972235,0.63103586,0.63103586
user_name_matches_login,1.5853808,0.25615185,0.40609822,0.40609822
repo_age_days,-0.97853863,-0.38304344,0.3748228,0.3748228
days_since_last_push,-0.66072494,-0.42053223,0.27785614,0.27785614
readme_has_install_run_commands,1.2264808,0.2205425,0.27049115,0.27049115
repo_name_has_blockchain_keyword,0.88277376,-0.29826584,-0.26330125,0.26330125
has_license_meta,1.0310687,0.25467998,0.26259255,0.26259255
user_age_days,-1.3900254,-0.18481441,0.2568967,0.2568967
has_wiki_enabled,-2.2544816,-0.10494015,0.23658565,0.23658565
env_file_count,0.5884427,0.38733414,0.22792394,0.22792394
has_license_file,0.9974544,0.21525641,0.21470845,0.21470845
topics_count,-0.82861525,-0.2568597,0.21283786,0.21283786
topic_has_blockchain_keyword,-1.0443114,-0.19535165,0.20400795,0.20400795
framework_hint_count,-0.59562707,-0.3370196,0.200738,0.200738
description_has_blockchain_keyword,0.5212917,-0.31252748,-0.16291797,0.16291797
topics_raw_len,-0.76988864,-0.20622176,0.15876779,0.15876779
top_level_dir_count,0.5660558,0.27468756,0.15548848,0.15548848
