feature,feature_value_scaled,gradient,grad_x_input,abs_grad_x_input
description_has_blockchain_keyword,-1.918312,-1.6228051,3.1130464,3.1130464
has_env_file,1.7040582,1.6314414,2.780071,2.780071
repo_name_has_blockchain_keyword,0.88277376,-1.9431453,-1.7153577,1.7153577
is_hireable,2.1152823,-0.74896353,-1.5842693,1.5842693
readme_has_install_run_commands,1.2264808,1.2457649,1.5279068,1.5279068
repo_age_days,-0.5977086,-1.8183591,1.0868489,1.0868489
env_file_count,0.5884427,1.8122905,1.0664291,1.0664291
has_license_file,-1.002552,1.0352228,-1.0378647,1.0378647
has_wiki_enabled,-2.2544816,0.39968804,-0.9010893,0.9010893
top_level_dir_count,-0.49265644,1.739615,-0.85703254,0.85703254
has_license_meta,-0.9698675,0.8688097,-0.8426303,0.8426303
days_since_last_push,-0.37751815,-2.2181518,0.83739257,0.83739257
primary_language_is_typescript,1.9428967,-0.41430208,-0.8049462,0.8049462
user_name_matches_login,-0.63076323,1.144492,-0.7219035,0.7219035
topic_has_blockchain_keyword,-1.0443114,-0.6881743,0.7186683,0.7186683
has_email,-0.6851374,1.0106846,-0.6924578,0.6924578
has_homepage,1.5262902,-0.43601912,-0.6654917,0.6654917
has_package_lock_json,1.3412862,-0.49266616,-0.6608063,0.6608063
hidden_file_ratio,0.7469831,-0.83156,-0.6211613,0.6211613
security_trust_keyword_count,-0.634254,0.9743611,-0.6179924,0.6179924
