feature,feature_value_scaled,gradient,grad_x_input,abs_grad_x_input
repo_is_fork,4.3337646,0.5401323,2.3408062,2.3408062
has_issues_enabled,-3.3845272,-0.2721851,0.92121786,0.92121786
readme_has_airdrop_claim_keywords,2.4296556,0.26645046,0.64738286,0.64738286
has_env_file,1.7040582,0.37971792,0.6470614,0.6470614
user_name_matches_login,1.5853808,0.24797583,0.3931361,0.3931361
repo_age_days,-0.97433054,-0.3794043,0.3696652,0.3696652
days_since_last_push,-0.66072494,-0.41957054,0.27722073,0.27722073
repo_name_has_blockchain_keyword,0.88277376,-0.30878195,-0.27258462,0.27258462
readme_has_install_run_commands,1.2264808,0.2206805,0.2706604,0.2706604
user_age_days,-1.3907496,-0.19136095,0.26613516,0.26613516
has_license_meta,1.0310687,0.25201815,0.25984803,0.25984803
env_file_count,0.5884427,0.38075402,0.22405192,0.22405192
has_license_file,0.9974544,0.21994328,0.2193834,0.2193834
has_wiki_enabled,-2.2544816,-0.0966188,0.21782531,0.21782531
topics_count,-0.82861525,-0.2612514,0.21647689,0.21647689
topic_has_blockchain_keyword,-1.0443114,-0.1954438,0.20410419,0.20410419
framework_hint_count,-0.59562707,-0.33782884,0.20122,0.20122
user_login_entropy,-2.2614834,0.0799779,-0.1808687,0.1808687
user_profile_update_span_days,-1.3397752,-0.122649506,0.16432276,0.16432276
description_has_blockchain_keyword,0.5212917,-0.30255967,-0.15772183,0.15772183
