feature,feature_value_scaled,gradient,grad_x_input,abs_grad_x_input
description_has_blockchain_keyword,-1.918312,-0.80421495,1.5427352,1.5427352
repo_age_days,-1.124769,-0.9929865,1.1168804,1.1168804
repo_name_has_blockchain_keyword,0.88277376,-1.0762315,-0.9500689,0.9500689
days_since_last_push,-0.8618812,-1.0482073,0.90343016,0.90343016
readme_has_install_run_commands,1.2264808,0.72319067,0.8869795,0.8869795
has_env_file,-0.58683443,1.0075703,-0.59127694,0.59127694
has_license_file,-1.002552,0.53937465,-0.54075116,0.54075116
has_license_meta,-0.9698675,0.49075955,-0.47597176,0.47597176
user_age_days,-1.508785,-0.3108341,0.46898183,0.46898183
watch_to_star_ratio,-1.2813947,0.35166168,-0.45061743,0.45061743
top_level_dir_count,-0.49265644,0.87126815,-0.42923588,0.42923588
is_stale_repo_flag,-1.5293813,-0.2742623,0.41945165,0.41945165
user_name_matches_login,-0.63076323,0.63099414,-0.3980079,0.3980079
has_package_lock_json,1.3412862,-0.2930339,-0.39304233,0.39304233
env_file_count,-0.38158122,1.000765,-0.3818731,0.3818731
framework_hint_count,-0.59562707,-0.6045367,0.36007842,0.36007842
has_email,-0.6851374,0.5105445,-0.3497931,0.3497931
topic_has_blockchain_keyword,-1.0443114,-0.32516846,0.33957714,0.33957714
user_login_entropy,0.9805679,0.34106272,0.33443516,0.33443516
contract_file_ratio,-0.49328762,-0.6674477,0.3292437,0.3292437
