feature,feature_value_scaled,gradient,grad_x_input,abs_grad_x_input
description_has_blockchain_keyword,-1.918312,-1.7064497,3.273503,3.273503
has_env_file,1.7040582,1.8886002,3.2182846,3.2182846
env_file_count,1.5584667,1.669274,2.601508,2.601508
repo_age_days,-1.2047223,-1.7254828,2.0787277,2.0787277
days_since_last_push,-0.9677529,-2.1032891,2.035464,2.035464
repo_name_has_blockchain_keyword,0.88277376,-2.0047245,-1.7697182,1.7697182
readme_has_install_run_commands,1.2264808,1.3746846,1.6860243,1.6860243
top_level_dir_count,-0.7043989,1.6327012,-1.1500728,1.1500728
readme_has_badge,1.7898523,-0.59806746,-1.0704525,1.0704525
has_license_file,-1.002552,0.923309,-0.9256653,0.9256653
primary_language_is_typescript,1.9428967,-0.47133425,-0.9157538,0.9157538
has_license_meta,-0.9698675,0.93702567,-0.90879077,0.90879077
watch_to_star_ratio,-1.2813947,0.70391977,-0.90199906,0.90199906
is_stale_repo_flag,-1.5293813,-0.5645937,0.863479,0.863479
has_twitter,1.3277465,-0.59845394,-0.7945951,0.7945951
has_email,-0.6851374,1.1042047,-0.7565319,0.7565319
user_name_matches_login,-0.63076323,1.0886286,-0.6866669,0.6866669
has_frontend_dir,1.2385101,0.5079085,0.62904984,0.62904984
repo_is_fork,-0.2307463,2.6612477,-0.61407304,0.61407304
topics_count,-0.82861525,-0.73740596,0.6110258,0.6110258
