feature,feature_value_scaled,gradient,grad_x_input,abs_grad_x_input
has_env_file,1.7040582,1.6293337,2.7764795,2.7764795
env_file_count,1.5584667,1.4459475,2.2534611,2.2534611
top_level_dir_count,1.624768,1.2849077,2.087677,2.087677
repo_age_days,-1.1805259,-1.7551675,2.0720208,2.0720208
days_since_last_push,-0.92011064,-2.1018474,1.9339322,1.9339322
repo_name_has_blockchain_keyword,-1.1327931,-1.69631,1.9215683,1.9215683
readme_has_install_run_commands,1.2264808,1.2647164,1.5511504,1.5511504
has_deploy_dir,2.0626354,-0.71181977,-1.4682246,1.4682246
max_path_depth,1.9455956,-0.5314669,-1.0340197,1.0340197
description_has_blockchain_keyword,0.5212917,-1.9260246,-1.0040206,1.0040206
is_stale_repo_flag,-1.5293813,-0.60252374,0.9214885,0.9214885
primary_language_is_typescript,1.9428967,-0.46756676,-0.9084339,0.9084339
user_name_matches_login,-0.63076323,1.2682067,-0.79993814,0.79993814
has_license_meta,1.0310687,0.6976907,0.719367,0.719367
watch_to_star_ratio,-1.2813947,0.50744116,-0.65023243,0.65023243
topics_count,-0.82861525,-0.73750764,0.6111101,0.6111101
topic_has_blockchain_keyword,-1.0443114,-0.5777955,0.60339844,0.60339844
framework_hint_count,-0.59562707,-1.0069498,0.59976655,0.59976655
file_extension_diversity,2.0803785,0.2780658,0.57848215,0.57848215
external_domains_average_age,0.9029602,-0.6345323,-0.5729574,0.5729574
