feature,feature_value_scaled,gradient,grad_x_input,abs_grad_x_input
repo_is_fork,4.3337646,0.5171969,2.2414095,2.2414095
has_issues_enabled,-3.3845272,-0.24506052,0.829414,0.829414
has_env_file,1.7040582,0.37014806,0.6307538,0.6307538
readme_has_airdrop_claim_keywords,2.4296556,0.25884584,0.62890625,0.62890625
user_name_matches_login,1.5853808,0.25136262,0.39850548,0.39850548
repo_age_days,-0.97433054,-0.3668337,0.35741726,0.35741726
has_wiki_enabled,-2.2544816,-0.123227425,0.27781397,0.27781397
days_since_last_push,-0.66072494,-0.4165619,0.27523282,0.27523282
has_license_meta,1.0310687,0.24955033,0.25730354,0.25730354
user_age_days,-1.3907496,-0.1847091,0.2568841,0.2568841
readme_has_install_run_commands,1.2264808,0.20691435,0.2537765,0.2537765
repo_name_has_blockchain_keyword,0.88277376,-0.28148457,-0.24848719,0.24848719
env_file_count,0.5884427,0.37728843,0.22201261,0.22201261
topics_count,-0.82861525,-0.24719718,0.20483135,0.20483135
framework_hint_count,-0.59562707,-0.33534074,0.19973803,0.19973803
has_license_file,0.9974544,0.19900455,0.19849797,0.19849797
topic_has_blockchain_keyword,-1.0443114,-0.18702096,0.19530812,0.19530812
topics_raw_len,-0.76988864,-0.21500413,0.16552924,0.16552924
user_profile_update_span_days,-1.3397752,-0.121647924,0.16298087,0.16298087
description_has_blockchain_keyword,0.5212917,-0.2989522,-0.15584129,0.15584129
