feature,coef
to use,-1.3067800041058584
Automated,-1.0266105696324144
built in,-0.8500643910226852
bot built,-0.8500643910226852
world,-0.7350684327303284
tool,-0.7090368851140968
real,-0.6772613695787716
for trading,-0.5746208821054023
uses,-0.37662595170220503
contains,-0.3432948574427327
Sora generated,-0.3368259313005147
generated videos,-0.3368259313005147
This project,-0.324929362237625
for the,-0.30927632870428956
Solana blockchain,-0.30842549130461655
optimized for,-0.30145288941650933
high-performance,-0.30145288941650933
optimized,-0.3013655191412529
bot for,-0.2815963256058427
advanced,-0.2807243182208633
successful,-0.24668722404604382
for fixed,-0.2423262837228582
helpful to,-0.2423262837228582
listens,-0.2423262837228582
to everyone,-0.2423262837228582
everyone,-0.2423262837228582
that listens,-0.2423262837228582
listens to,-0.2423262837228582
amount in,-0.2423262837228582
fixed amount,-0.2423262837228582
to new,-0.2423262837228582
everyone looking,-0.2423262837228582
be helpful,-0.2423262837228582
in WSOL,-0.2423262837228582
Pump.Fun Raydium,-0.2423262837228582
to remove,-0.24050215385572787
generated,-0.21697613411577643
in,-0.20941330197846397
project,-0.19891377064968327
AI,-0.1908179915617853
from Sora,-0.1828289685091709
approach,-0.17951368513065444
blockchain,-0.17947009102453138
terminal readme,-0.17024101269324204
Run the,-0.15085714406657896
videos When,-0.14865444604250092
and hope,-0.14111926935094107
mirrors,-0.13701647316138432
WSOL Depending,-0.13075048355122526
solana-pumpfun-bot,-0.12926934100747342
