feature,importance
repo_age_days,1.1302445
description_has_blockchain_keyword,0.8182953
tfidf_readme::launch,0.64061475
tfidf_readme::install,0.60259116
topic_has_blockchain_keyword,0.46643913
repo_is_fork,0.40762094
has_env_file,0.33255136
blockchain_keyword_count,0.28784513
time_to_last_push_days,0.22490431
tfidf_readme::dex,0.2217888
subscribers_count,0.21845911
tfidf_readme::trading,0.18330629
tfidf_readme::cd,0.16282599
repo_name_has_blockchain_keyword,0.15545577
tfidf_aux::blockchain,0.12548523
tfidf_readme::testing,0.104391485
tfidf_readme::ethereum,0.1040679
js_ts_file_count,0.0944827
tfidf_readme::key,0.0924027
tfidf_readme::buy,0.09204717
tfidf_readme::profit,0.08445182
user_repo_creation_gap_days,0.08415284
tfidf_readme::stop,0.07280859
contract_file_ratio,0.062339522
tfidf_readme::market,0.059428506
tfidf_readme::dependencies,0.05688759
max_file_size_bytes,0.052219838
tfidf_readme::smart,0.046509795
repo_name_entropy,0.041953158
tfidf_aux::wallet,0.03997682
has_email,0.037258185
tfidf_readme::support,0.03656071
repo_size_kb,0.03583164
tfidf_readme::version,0.030621475
external_domains_count,0.030210314
tfidf_readme::bot,0.030070603
readme_unique_domain_count,0.027049296
tfidf_readme::contract,0.02631747
desc_length,0.025980117
topics_count,0.025682027
tfidf_readme::loss,0.021579301
tfidf_readme::wallet,0.018180402
tfidf_readme::program,0.015757728
tfidf_readme::new,0.015524966
tfidf_readme::filter,0.015232718
tfidf_readme::app,0.014828907
tfidf_readme::search,0.01454842
tfidf_readme::data,0.01438456
tfidf_readme::env,0.014089989
tfidf_readme::server,0.013313603
days_since_last_push,0.0131623065
tfidf_readme::auto,0.01278557
readme_length,0.012270114
tfidf_aux::ethereum,0.012263341
tfidf_aux::smart,0.012057408
tfidf_readme::make,0.011967526
tfidf_readme::live,0.011638924
tfidf_aux::bot,0.010802391
tfidf_readme::local,0.010586687
tfidf_readme::true,0.010118013
tfidf_readme::sell,0.009733912
tfidf_aux::buy,0.009467329
tfidf_readme::blockchain,0.009336275
total_files_count,0.008845239
security_trust_keyword_count,0.007699711
tfidf_readme::pools,0.0075072646
tfidf_readme::agent,0.007440037
tfidf_readme::type,0.0074337437
tfidf_readme::protocol,0.00711227
tfidf_readme::platform,0.0069345115
tfidf_readme::features,0.006412465
tfidf_readme::start,0.0063936287
tfidf_readme::use,0.005918914
tfidf_aux::defi,0.0058485772
tfidf_readme::transactions,0.0055607725
avg_file_size_bytes,0.0053497385
tfidf_readme::open,0.0051963087
tfidf_readme::networks,0.0048960997
tfidf_readme::advanced,0.004717723
tfidf_aux::exchange,0.0045562866
tfidf_readme::btc,0.0043069255
tfidf_readme::set,0.0040154867
tfidf_readme::page,0.0038737722
tfidf_readme::dashboard,0.0038055796
tfidf_readme::check,0.003799013
tfidf_readme::using,0.0036453276
tfidf_readme::usage,0.0035546564
tfidf_readme::run,0.0034119498
tfidf_readme::control,0.0031707673
tfidf_readme::contracts,0.0031578776
tfidf_readme::snipe,0.0031427622
tfidf_readme::total,0.0029817307
topics_clean_len,0.0027443706
tfidf_readme::max,0.002740238
repo_name_length,0.0025717274
tfidf_readme::method,0.002554423
user_age_days,0.0025463523
tfidf_readme::supported,0.0025458983
tfidf_readme::signal,0.002431709
tfidf_aux::based,0.0022772097
tfidf_aux::decentralized,0.002255412
tfidf_aux::price,0.002201073
tfidf_readme::trade,0.0021892788
tfidf_readme::polygon,0.0020620741
tfidf_readme::telegram,0.0019388604
tfidf_readme::feature,0.0018641314
env_file_count,0.0018182358
tfidf_readme::sure,0.0018064626
tfidf_readme::architecture,0.001737907
tfidf_readme::request,0.0017052733
tfidf_readme::want,0.0016823809
tfidf_readme::change,0.0015984598
tfidf_readme::sentiment,0.0015969096
tfidf_readme::position,0.0015669748
tfidf_readme::developer,0.0014963936
tfidf_readme::provided,0.0014851132
tfidf_readme::specified,0.0014769953
tfidf_readme::liquidity,0.001423048
tfidf_readme::fix,0.0014112365
tfidf_readme::account,0.0013919182
tfidf_readme::default,0.001381905
watchers_count,0.0013227087
tfidf_readme::private,0.0013069118
tfidf_readme::settings,0.0012846312
tfidf_readme::learning,0.001276658
tfidf_aux::cryptocurrency,0.0012281719
tfidf_readme::provider,0.0012271032
tfidf_readme::test,0.001216257
tfidf_readme::unit,0.0011571365
tfidf_readme::pool,0.0011345636
tfidf_readme::details,0.0011224139
tfidf_readme::evm,0.0010710503
tfidf_readme::different,0.0010285742
tfidf_readme::interface,0.0008777905
tfidf_readme::overview,0.000846101
tfidf_readme::staking,0.0008364847
tfidf_readme::tokens,0.000801112
primary_language_is_python,0.0
primary_language_is_javascript,0.0
primary_language_is_go,0.0
owner_repo_density,0.0
open_issues_count,0.0
network_count,0.0
