repo_full_name,raw_file_name,family_label,is_synthetic,source_repo_full_name,source_raw_file_name,augmentation_method
2723799947qq2022/solana-pumpfun-bot,2723799947qq2022__solana-pumpfun-bot.json,F1_pumpfun_clone,0,2723799947qq2022/solana-pumpfun-bot,2723799947qq2022__solana-pumpfun-bot.json,original
2kwkkk/solana-pumpfun-bot,2kwkkk__solana-pumpfun-bot.json,F1_pumpfun_clone,0,2kwkkk/solana-pumpfun-bot,2kwkkk__solana-pumpfun-bot.json,original
790659193qqch/solana-pumpfun-bot,790659193qqch__solana-pumpfun-bot.json,F1_pumpfun_clone,0,790659193qqch/solana-pumpfun-bot,790659193qqch__solana-pumpfun-bot.json,original
7arlystar/solana-pumpfun-bot,7arlystar__solana-pumpfun-bot.json,F1_pumpfun_clone,0,7arlystar/solana-pumpfun-bot,7arlystar__solana-pumpfun-bot.json,original
918715c83/solana-pumpfun-bot,918715c83__solana-pumpfun-bot.json,F1_pumpfun_clone,0,918715c83/solana-pumpfun-bot,918715c83__solana-pumpfun-bot.json,original
adminlove520/VulnWatchDog,adminlove520__VulnWatchDog.json,F4_security_osint_cve,0,adminlove520/VulnWatchDog,adminlove520__VulnWatchDog.json,original
AmirhBeigi7zch6f/solana-pumpfun-bot,AmirhBeigi7zch6f__solana-pumpfun-bot.json,F1_pumpfun_clone,0,AmirhBeigi7zch6f/solana-pumpfun-bot,AmirhBeigi7zch6f__solana-pumpfun-bot.json,original
arliawhite/rentverse,arliawhite__rentverse.json,F3_web3_platform_app,0,arliawhite/rentverse,arliawhite__rentverse.json,original
asmaamohamed0264/solana-pumpfun-bot,asmaamohamed0264__solana-pumpfun-bot.json,F1_pumpfun_clone,0,asmaamohamed0264/solana-pumpfun-bot,asmaamohamed0264__solana-pumpfun-bot.json,original
bog-us/solana-pumpfun-bot,bog-us__solana-pumpfun-bot.json,F1_pumpfun_clone,0,bog-us/solana-pumpfun-bot,bog-us__solana-pumpfun-bot.json,original
clixlogix/blockchain-dev,clixlogix__blockchain-dev.json,F3_web3_platform_app,0,clixlogix/blockchain-dev,clixlogix__blockchain-dev.json,original
dev-protocol/polymarket-copytrading-bot-sport,dev-protocol__polymarket-copytrading-bot-sport.json,F2_crypto_trading_bot,0,dev-protocol/polymarket-copytrading-bot-sport,dev-protocol__polymarket-copytrading-bot-sport.json,original
edparker89/solana-pumpfun-bot,edparker89__solana-pumpfun-bot.json,F1_pumpfun_clone,0,edparker89/solana-pumpfun-bot,edparker89__solana-pumpfun-bot.json,original
eferos93/test4,eferos93__test4.json,F5_ai_media_demo,0,eferos93/test4,eferos93__test4.json,original
FaceOFWood/SniperBot-Solana-PumpSwap,FaceOFWood__SniperBot-Solana-PumpSwap.json,F2_crypto_trading_bot,0,FaceOFWood/SniperBot-Solana-PumpSwap,FaceOFWood__SniperBot-Solana-PumpSwap.json,original
harshith-vaddiparthy/quant-bot,harshith-vaddiparthy__quant-bot.json,F2_crypto_trading_bot,0,harshith-vaddiparthy/quant-bot,harshith-vaddiparthy__quant-bot.json,original
ii4272/solana-pumpfun-bot,ii4272__solana-pumpfun-bot.json,F1_pumpfun_clone,0,ii4272/solana-pumpfun-bot,ii4272__solana-pumpfun-bot.json,original
ijtye/solana-pumpfun-bot,ijtye__solana-pumpfun-bot.json,F1_pumpfun_clone,0,ijtye/solana-pumpfun-bot,ijtye__solana-pumpfun-bot.json,original
