number,value,datetime_start,datetime_complete,duration,params_aux_max_features,params_aux_min_df,params_aux_ngram_high,params_colsample_bytree,params_gamma,params_gen_pos_weight_mult,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_neg_weight_mult,params_readme_max_features,params_readme_min_df,params_readme_ngram_high,params_real_pos_weight_mult,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_actual_w_generated_pos,user_attrs_actual_w_neg,user_attrs_actual_w_real_pos,user_attrs_text_mode,user_attrs_val_ap,user_attrs_val_best_threshold,user_attrs_val_f1,user_attrs_val_precision,user_attrs_val_recall,state
0,0.5343019715333964,2026-04-12 20:55:21.164373,2026-04-12 20:55:35.067128,0 days 00:00:13.902755,100,2,2,0.648054491205936,5.290945686938986,0.786350826902629,0.10585200736031265,1.292821124806787,4,5,1100,1.2059414457537638,600,2,2,1.5937795510882515,1.7546504830630616,5.478126171243263,0.6897122953919896,0.9829385336282863,1.2059414457537638,4.781338653264754,dual_text,0.5551637569955662,0.5383915901184082,0.7058823529411765,0.8888888888888888,0.5853658536585366,COMPLETE
1,0.44276269287252246,2026-04-12 20:55:35.067408,2026-04-12 20:55:47.900354,0 days 00:00:12.832946,150,3,1,0.7548351835252995,4.830103203482714,1.1038720352258715,0.008291591327590367,0.7548308114328448,2,2,1000,0.9893088378265313,300,3,1,1.8648510977625317,0.22489674103208107,7.523976042844417,0.7210281575500586,1.3798400440323393,0.9893088378265313,5.5945532932875945,dual_text,0.4864559596005179,0.364774227142334,0.676056338028169,0.8,0.5853658536585366,COMPLETE
2,0.600053998066068,2026-04-12 20:55:47.900599,2026-04-12 20:56:02.787693,0 days 00:00:14.887094,50,3,2,0.5990380767711245,1.6293609222716918,0.9971614786807321,0.08238812966325584,1.7943037732487428,2,5,1400,1.318457950922515,450,2,2,2.033366212441756,6.950599794314651e-05,7.2021990745456534,0.8224532221498254,1.2464518483509153,1.318457950922515,6.100098637325269,dual_text,0.6078605415962043,0.6422235369682312,0.7272727272727273,0.96,0.5853658536585366,COMPLETE
3,0.4727212859636566,2026-04-12 20:56:02.787919,2026-04-12 20:56:09.945534,0 days 00:00:07.157615,100,2,1,0.8540227781515248,3.3854969520730336,0.5666992630928039,0.09055555841517407,1.1881552589055848,6,1,600,1.378786490910713,300,2,1,1.7680753729212468,1.6083461729549758e-05,0.07886845985018365,0.9487887860937909,0.7083740788660049,1.378786490910713,5.30422611876374,dual_text,0.5192809606933156,0.1823362112045288,0.6857142857142857,0.8275862068965517,0.5853658536585366,COMPLETE
4,0.6341896546845518,2026-04-12 20:56:09.945867,2026-04-12 20:56:24.587936,0 days 00:00:14.642069,200,3,1,0.7763904410463391,5.58851359143846,1.1067257252505223,0.007153062814057631,0.5984118316440483,6,1,600,0.9109530646097711,550,3,2,1.6936352725997195,0.15434879577410016,0.10203814724333116,0.8248001133060949,1.3834071565631527,0.9109530646097711,5.080905817799159,dual_text,0.626834643331211,0.7001994848251343,0.7384615384615385,1.0,0.5853658536585366,COMPLETE
5,0.5992032127812722,2026-04-12 20:56:24.588307,2026-04-12 20:56:38.593765,0 days 00:00:14.005458,200,3,1,0.6454875904742461,0.7924960750407883,0.9824778202609152,0.011701762235012955,1.354598961581652,5,5,400,1.0092972072307935,450,2,2,1.5447755932084346,0.0005181757722655368,0.11896530746363075,0.7616762347380205,1.228097275326144,1.0092972072307935,4.634326779625304,dual_text,0.5795010321030152,0.7172974944114685,0.7272727272727273,0.96,0.5853658536585366,COMPLETE
6,0.6345538191151261,2026-04-12 20:56:38.593990,2026-04-12 20:56:51.054279,0 days 00:00:12.460289,200,3,1,0.7810559921605349,2.434115264483548,0.7425670505351845,0.01137997719389029,1.6067879365696378,2,7,900,1.4050051454198436,450,4,1,1.6300190195495987,0.0009674606902734641,7.030556542510796,0.7731054880388327,0.9282088131689805,1.4050051454198436,4.890057058648797,dual_text,0.6389734576836898,0.7547469735145569,0.7384615384615385,1.0,0.5853658536585366,COMPLETE
7,0.6010335533374191,2026-04-12 20:56:51.054516,2026-04-12 20:57:07.978274,0 days 00:00:16.923758,150,3,1,0.7604088356177006,1.0401957672257696,0.8224934309942145,0.013603620215080908,1.1461848151919032,4,5,1300,1.4614901178248358,550,2,2,2.077799837211529,0.0007102259050667769,0.20042204301395491,0.9952826819065452,1.028116788742768,1.4614901178248358,6.2333995116345875,dual_text,0.6405123839745769,0.7509499192237854,0.7272727272727273,0.96,0.5853658536585366,COMPLETE
8,0.5669894134437968,2026-04-12 20:57:07.978535,2026-04-12 20:57:25.997507,0 days 00:00:18.018972,150,1,2,0.797239599672327,3.1651604650647656,0.7726733466452347,0.007531454808625805,1.4126103235791023,4,6,1000,1.1758076659275702,550,4,2,1.7795554975485555,2.301698473677678,0.031387071384513986,0.8204921065501494,0.9658416833065433,1.1758076659275702,5.338666492645666,dual_text,0.5911894033504486,0.6263874173164368,0.7164179104477612,0.9230769230769231,0.5853658536585366,COMPLETE
9,0.6345194659227738,2026-04-12 20:57:25.997916,2026-04-12 20:57:48.095167,0 days 00:00:22.097251,200,1,2,0.8958363910294749,1.7519691630014675,0.5041181464486308,0.010852418070778974,0.6044773396462484,5,1,1200,1.2354326681284993,450,3,2,1.9867613780566713,2.382704085179373,0.3011343769792885,0.677641915139819,0.6301476830607886,1.2354326681284993,5.9602841341700135,dual_text,0.6378283512719451,0.8439388871192932,0.7384615384615385,1.0,0.5853658536585366,COMPLETE
