feature,importance
repo_age_days,0.07077908
subscribers_count,0.044339318
has_issues_enabled,0.039095055
tfidf::sentiment,0.03134995
tfidf::media,0.02463663
topic_has_blockchain_keyword,0.021094764
tfidf::ethereum,0.01802753
days_since_last_push,0.017726041
tfidf::market,0.017637387
tfidf::blockchain,0.017083423
time_to_last_push_days,0.014265369
tfidf::install,0.013838182
readme_length,0.012790629
tfidf::volume,0.012655441
tfidf::automated,0.011932181
readme_unique_domain_count,0.011927743
tfidf::web3,0.011826406
tfidf::install dependencies,0.011712984
tfidf::smart,0.01141925
combined_raw_len,0.011146102
description_raw_len,0.010898154
total_files_count,0.010537263
large_file_count_ge_1mb,0.010440171
tfidf::services,0.010293534
tfidf::contract,0.010018262
contract_file_ratio,0.009755119
tfidf::wallet,0.009686349
readme_raw_len,0.009593446
max_file_size_bytes,0.0088843955
tfidf::support,0.008680434
description_has_blockchain_keyword,0.008649161
tfidf::open,0.008533656
readme_clean_len,0.008500331
tfidf::defi,0.0084658805
tfidf::bitcoin,0.008463628
external_domains_count,0.008318344
rust_file_count,0.008249931
tfidf::ll,0.00813855
tfidf::trading,0.007956453
tfidf::swap,0.007922554
tfidf::page,0.007855638
tfidf::management,0.007847558
tfidf::interact,0.0077089886
tfidf::variable,0.0077059763
tfidf::fork,0.00769459
tfidf::app,0.0076584797
watch_to_star_ratio,0.007567076
has_env_file,0.0073961904
tfidf::protocol,0.0073323403
tfidf::new,0.0072133327
tfidf::check,0.007147373
tfidf::tools,0.0071405694
tfidf::price,0.0071248556
tfidf::contracts,0.0070638224
tfidf::deploy,0.007009012
tfidf::network,0.007000107
tfidf::evm,0.006878344
tfidf::provider,0.0068737636
tfidf::overview,0.006866675
tfidf::stack,0.006826502
tfidf::make sure,0.006783687
tfidf::does,0.006708612
tfidf::files,0.006581712
tfidf::free,0.006556849
tfidf::analysis,0.0062970077
tfidf::testing,0.0062294872
tfidf::python,0.0061881086
tfidf::cd,0.0061366986
desc_length,0.005976479
tfidf::platform,0.005898968
tfidf::server,0.0058686985
tfidf::provides,0.0058677844
description_clean_len,0.0058553317
tfidf::launch,0.0057606767
tfidf::using,0.005457865
tfidf::features,0.0054447935
readme_url_count,0.0054246634
tfidf::max,0.0054240976
repo_name_entropy,0.005172502
tfidf::mit,0.0050781895
blockchain_keyword_count,0.0050213225
tfidf::create,0.004923432
tfidf::graph,0.0049181343
env_file_count,0.004867703
tfidf::make,0.0048028207
tfidf::trade,0.0047590695
tfidf::architecture,0.0046602683
tfidf::structure,0.004616485
tfidf::buy,0.004466588
tfidf::key,0.004431776
tfidf::dex,0.0043613077
avg_file_size_bytes,0.004329629
repo_name_has_blockchain_keyword,0.00415791
repo_size_kb,0.0039781732
tfidf::users,0.003927891
repo_is_fork,0.003917384
tfidf::test,0.0037395712
tfidf::search,0.0037276477
user_profile_update_span_days,0.003693705
stargazers_count,0.003690883
tfidf::sell,0.0032762068
test_related_file_count,0.0032079867
tfidf::program,0.0028647718
tfidf::file,0.0027579297
topics_count,0.0027371733
tfidf::transactions,0.0027282054
tfidf::pools,0.0026851238
public_repos_count,0.0026004238
tfidf::local,0.002465275
tfidf::including,0.002452598
deploy_related_file_count,0.0023981063
tfidf::start,0.002375444
tfidf::private,0.0023073577
user_repo_creation_gap_days,0.002097128
tfidf::setup,0.0020887787
has_email,0.002073284
has_test_dir,0.0
has_truffle_config,0.0
has_twitter,0.0
has_wiki_enabled,0.0
has_yarn_lock,0.0
hidden_file_count,0.0
hidden_file_ratio,0.0
homepage_domain_in_description,0.0
homepage_domain_in_external_domains,0.0
homepage_domain_in_readme,0.0
is_hireable,0.0
is_recent_repo_flag,0.0
is_stale_repo_flag,0.0
is_template_repo,0.0
is_user_deleted,0.0
issues_to_star_ratio,0.0
js_ts_file_count,0.0
max_path_depth,0.0
move_file_count,0.0
network_count,0.0
open_issues_count,0.0
owner_repo_density,0.0
primary_language_is_go,0.0
primary_language_is_javascript,0.0
primary_language_is_python,0.0
primary_language_is_rust,0.0
primary_language_is_solidity,0.0
primary_language_is_typescript,0.0
public_gists_count,0.0
python_file_count,0.0
readme_has_airdrop_claim_keywords,0.0
readme_has_approve_keywords,0.0
readme_has_badge,0.0
