repo_full_name,y_true,y_proba,y_pred,text_len
mdemetrial26rvk9w/solana-pumpfun-bot,1,0.989858,1,3823
2723799947qq2022/solana-pumpfun-bot,1,0.989858,1,3823
ii427/solana-pumpfun-bot,1,0.989858,1,3823
janmalece/solana-pumpfun-bot,1,0.989858,1,3823
wc64561673347375/solana-pumpfun-bot,1,0.989858,1,3823
918715c83/solana-pumpfun-bot,1,0.989858,1,3823
2kwkk/solana-pumpfun-bot,1,0.98832804,1,3823
kay2x42/solana-pumpfun-bot,1,0.98832804,1,3823
xorosta3/blocknovas-llc-currency-converter-task,1,0.9698851,1,2868
mirzamudassir3/blocknovas-nyx-public,1,0.9664451,1,2799
harshithvaddiparthy/quant-bot,1,0.9647414,1,37583
Zeeeepa2/spyder-osint2,1,0.963702,1,846
MorningStar2132q/Solana-pumpfun-bot,1,0.9625817,1,3247
Zeeeep3/spyder-osint2,1,0.96251965,1,847
Zeeeepaz/spyder-osint2,1,0.96242344,1,846
Zeeeep4/spyder-osint,1,0.9624004,1,832
harshithvaddiparthy32/quant-bot,1,0.9623282,1,37583
Zeeeepa/spyder-osint,1,0.9609619,1,827
MorningStar2131/Solana-pumpfun-bot,1,0.9609599,1,3258
themaxlpalfaboy5/CVE-2025-54897-LAB,1,0.95971614,1,1971
themaxlpalfaboy7/CVE-2025-54897-LAB,1,0.9584221,1,1971
themaxlpalfaboy6/CVE-2025-54897-LAB,1,0.9584221,1,1971
knightsdexf/knightsbridge-dex,1,0.95828253,1,711
Zeeeepa5/spyder-osint,1,0.9581001,1,831
rizvejoarder/SoraMax,1,0.9580667,1,6389
rizvejoarder4/SoraMax,1,0.9580667,1,6403
knightsdex3/knightsbridge-dex,1,0.95719916,1,651
eferos93/takehome-test4,1,0.95069224,1,1116
eferos93e/test4,1,0.95069224,1,1099
ta3pk/Decentralized-Social,1,0.94916713,1,495
ta3pks4/Decentralized-Social,1,0.94382286,1,495
shivas14324/sora2-watermark-remover,1,0.94021463,1,1600
shivas1432a/sora2-watermark-remover,1,0.93871605,1,1649
shivas14327/sora2-watermark-remover,1,0.9376022,1,1603
shivas1432/sora2-watermark-remover,1,0.93753576,1,1583
shivas1434/sora2-watermark-remover,1,0.93753576,1,1650
dev-protocol/polymarket-copytrading-bot-sport,1,0.9351269,1,4140
dex-copy/polymarket-copytrading-bot-sport,1,0.9351269,1,3973
copy-trade/polymarket-copytrading-bot-sport,1,0.9351269,1,3984
MorningStar2133/Solana-pumpfun-bot,1,0.9346634,1,3263
Metaldadisbadg/HacxGPT,1,0.93251735,1,1885
Metaldadisbad6/HacxGPT,1,0.93251735,1,1945
mirzamudassir2/blocknovas-nyx-public,1,0.9072995,1,2799
mirzamudassirj/blocknovas-nyx-public,1,0.8923759,1,2799
nocom/poc-CVE-2001-1473,1,0.8915142,1,1931
nocompa/poc-CVE-2001-1473,1,0.88296026,1,1928
arliawhite3/rentverse,1,0.8494103,1,2200
arliawhite2/rentverse,1,0.8444718,1,2200
arliawhite/rentverse,1,0.8444718,1,2200
protocol-2/blockchain-dev,1,0.7601052,1,199
